vacancy_title,company_name,required_technologies,vacancy_views_amount,vacancy_reviews_amount
"Full Stack Developer (Python, Vue.js)",BrickRed Systems,"Python, Vue.js, Vue 3, TypeScript, GCP",31,9
Senior Python Developer,TalentSquad,"Java, backend, Backend development",125,32
Python data scraping (Amazon seller data),Treasure Islands LLC,,97,36
Senior Python Developer,Trinetix,,11,1
Python Developer,MeTalent,"Python, Django, AWS, PostgreSQL, HTML/CSS, Vue.js, Stripe",33,7
Python Developer (Data engineering),Dataforest,"Python, Data Engineering, ETL pipelines, SQL, NoSQL",183,14
Python Developer,Xedrum,"Python, Python / Django",100,35
"Full-Stack Developer (Python, Vue)",SEDNA,"Python, Django REST Framework, Vue, Celery, MySQL, PostgreSQL, HTML / CSS / JavaScript",529,88
Python-developer (Junior),Болі Віяс,Навчання,459,127
Django Developer,MeTalent,"Django, Vue.js, PostgreSQL, AWS, Stripe",72,9
Middle DRF Developer for Fintech project,Dataforest,"Python / Django, DRF, RESTful APIs, Celery, Kafka, AWS",73,12
Senior Python/Django Backend Engineer,SPD Technology,"Django, Python / Django, Django/Python",19,5
Python Developer (+Strong AWS),Yael Acceptic,"AWS EC2, AWS, AWS Lambda, Python",145,26
Python (Django) Developer,LimestoneDigital,,198,99
Python Backend Engineer( with experience in Unity development),MoveUp Recruitment agency,"Python, Unity, DevOps, Kubernetes, ComfyUI, AWS, Mobile games",74,2
Senior Software Engineer (Python),Competera,"LLM, Python, AI",41,3
Backend Python Engineer,Proxet,,36,9
Python Developer,Cyngular Security,Python,102,25
Senior Python Backend Engineer,Develux,,390,68
Backend Developer (Python),Volindo,"Python, Backend development, Backend, back-end",296,36
Senior Python Developer,EVE.calls,"Python3, TCP/IP, WebSockets, WebSocket, Multithreading",172,30
Python Developer/Angular/Fullstack,rubiconmp.com,,140,41
Senior Python Engineer,Academy SMART,,173,23
Python Developer (AWS),Inmost,"REST, MQTT/ TCP/ IP, HTTP, RabbitMQ, Apache Kafka, Apache Pulsar, Flask",210,57
Python Quant Developer,Peanut Trade,"Unix, network processing",417,102
Back End / DevOps разработчик с опытом Python / Django и AWS,TimelinesAI(part of Initech group),,315,108
Full Stack Python / Django developer,TimelinesAI(part of Initech group),,398,139
Senior/Lead Python developer,Lean Geeks LLC,"Python, Django, DRF, LLM, OpenAI, LangChain, Django Rest Framework",60,5
Senior Node.js Developer (with Python experience),Devico,"Node.js, Python, Express.js, Flask, NoSQL",35,8
Reef Technologies Senior Python Backend Engineer,Reef Technlogies,"Django/Python, Django, Linux, databases",708,76
Data Scientist,Playtech,"Data Science in Python, Python",77,3
Senior Python Developer / Team Lead,VSBD,"Python / Django, Azure Cloud, React + JS, CosmosDB, Azure OpenAI, Milvus DB, FastApi",118,15
Middle Python Engineer,Itr-soft,"DRF, Django Rest Framework",158,25
Middle Python Developer - Marketing automation software,NorthSouth Tech,,237,110
Senior Python Developer,Luxoft,"AWS Lambda, Python",22,2
Python Developer (Scraping),Dataforest,"beautifulsoup, selenium, SQL, Web automation",554,28
Junior Programmer,OnHires,,243,40
Middle Python Developer,Starnavi,"Python, Django, Flask, FastAPI",1068,249
Senior Python Engineer IRC217834,GlobalLogic,"Python, ElasticSearch, Flask, AWS, Azure",161,26
Risk Platform Developer,Atto Trading,"Python, MySQL, C++, Linux",178,27
Senior Python Developer,Luxoft,,16,1
Senior Python Developer,Luxoft,"Bachelor's degree in Computer Science, Engineering, AWS Lambda, API Gateway, DynamoDB, S3, and CloudFormation",11,0
Python Developer,Dataforest,"python, scraping, SQL/NoSQL, BeautifulSoup",1227,157
Mid Python- Backend,Unicsoft,,61,9
Python Full Stack Developer,Xedrum,"Python, React",75,13
Python Developer (Data engineering),Dataforest,"ETL, Python, Elasticsearch, SQL, Kafka, AWS, Apache Airflow",967,102
Technical Lead,Stobox,"Technical Lead, FastAPI, AWS, GCP, Azure, Web3, Blockchain",232,32
Middle Python Developer,Dataforest,"Python scripting, Python, web scraping, Flask, MySQL/PostgreSQL/MongoDB",137,23
Python Developer,Cleveroad,,528,117
Python Backend Developer,Checkbox,"Python 3, FastAPI, Starlette, SQLAlchemy, REST API, SQL",787,195
Python Backend Developer,Kauri.One,"FinTech, Django, Celery, REST, Python",746,198
Python Developer,Repetry,,95,26
ML Engineer,Outstaff Your Team,"Machine Learning, NLP, Python, Pytorch, Tensorflow, REST API, Docker",212,40
Senior Python Engineer,GlobalLogic,,66,21
Python Software Engineer,SQRD.tech,"Denodo, Python, Spark, Kafka, SQL, TensorFlow",12,0
Senior Node.js Developer,Devico,"Node.js, Python, Express.js, Flask, NoSQL",57,8
Strong Junior / Middle Python Developer,ElifTech,"Python, Python basics, Python/Django/Django-rest-framework, Python3, GraphQL, SQL, REST",379,102
Back-end developer (Python),AI DATAVERSE,"ai, Python, Backend development, Docker/Kubernetes, FastAPI, CI/CD",284,72
Senior Python developer,Olive,"Python, Django, PostgreSQL, AWS",110,14
Senior Python developer,Piligrim IT,"python, FinTech",48,11
Python Software Engineer - VR,Devox Software,,88,12
Tech Lead (DRF) for Fintech Project,Dataforest,"Python, DRF, RESTful APIs, AWS, CI/CD",45,3
"AI Engineer (Generative NLP, AI Agents, Prompting)",WebLab Technology,"AI, NLP, Python, LLMs, OpenAI, API, FastAPI",261,37
Senior/Middle DRF Developer for Fintech project,Dataforest,"DRF, Django REST Framework, Django, Python / Django, Backend development",76,18
Python Test Automation Engineer,Dash Financial Technologies,,119,31
Senior Python Developer,Luxoft,"AWS, Lambda, Python",14,4
Senior Python Developer,Luxoft,"Python, AWS",55,6
Data Engineer / ETL developer (DB/BI),LvivSoft,"ETL, Python, Docker",91,11
Senior/Middle DRF Developer for Fintech project,Dataforest,"DRF, Django REST Framework, Django, Python / Django, Backend development",153,64
Tech Lead (DRF) Fintech Project,Dataforest,,60,17
Middle Phyton Developer,Softengi,"REST API, Git, Phyton",121,21
Senior Python Developer (Django + AWS),GlobalLogic,,33,5
"Senior Python Engineer, Integrations",Teramind,"python, Flask",225,69
"Python Developer, Middle - Senior",Teramind,,565,152
"Developer Python , Django Templates,  Ajax,  JQuery",SENCLOUD Sp. z oo.,,422,96
Python Developer,INCOAlliance,"Python, Microservices, Kubernetes, Docker",365,34
Full Stack Python / Django Developer,AD MEDIA PROFIT,,102,17
Python Back-end Developer,vidby AG,Django REST,495,136
Python Developer (Scraping),Dataforest,,1240,166
Team Lead Python/DjangoDRF,Dataforest,"Django/Python, Python, Azure, GCP/AWS, SQL/NoSQL, Elasctisearch, Docker",360,26
Senior Python Software Engineer,Dashdevs,,31,5
Senior Backend Engineer,Yoverse,,152,51
Software Engineer who would shape the Future of Game Industry Ads,MoveUp Recruitment agency,"Python, games, Kubernetes, AWS",143,18
Senior Python Developer IRC220320,GlobalLogic,Python,36,4
Senior Full Stack Engineer (Django/React),PLANEKS,"Python3, Python / Django, Django, React.js",112,62
Fullstack Developer Python+Vue.js,MeGaDev,"Vue.js, Python",54,6
"Intern/trainee analytic programmer (DAX, M, VBA, SAS, R, Python)",University of Toronto,"PowerBI, DAX, Python, Power Query, Excel",444,71
Python Developer,ADATech,,582,208
Full-Stack Python/React Developer (for 3 month project),Softblues,"Python, AWS, React, TypeScript, DynamoDB",87,19
Back-end developer,buzzabout.ai,"Python, Django, Flask, aiohttp, AWS, GCP, SQL",414,103
Python (+Node.js) Developer,Devico,"Python, Node.js, AWS, Azure, Docker",43,11
Middle Python Developer,COMPARUS UA,,429,43
"Python Developer, Warsaw",Luxoft,"Python, SQL",13,1
Senior Python Developer,SalesNash,Python,101,46
Middle Python Developer with Java knowledge,Scalors,"Python, Java",188,56
Strong junior or middle Python engineer,Artellence,"Big Data, Python, Data Engineering, FastAPI, Airflow, MongoDB, feature engineering",469,25
Backend Developer,Graintrack,"Python, Python / Django, SaaS",339,57
Junior Python developer,Evowill,"Python, English, MySQL, REST API, OOP, Git",959,341
Python Tech Lead,PLANEKS,"Python, Django, Team Lead, CI/CD, Flask, Mongo DB",59,6
Python developer (Data Engineer),FF Group,,323,61
Python Tech Lead,PLANEKS,"Python, Django, Team Lead, CI/CD, Flask, Mongo DB",107,9
Python Developer - Project based position - Trading Bot,DuckMa Srl,"Deep Learning, Python, FastAPI, Linux \ Bash \ Git, Multithreading, FinTech",490,72
Senior Test Automation Engineer (Python),Luxoft,,66,12
Python Developer,Join.To.IT,"Python, Django",330,61
Strong junior or Middle software engineer (parsing/reverse),Artellence,"Big Data, parsing, scraping, reverse engineering, Application Security, Selenium, beautifulsoup",308,32
Middle strong/Senior Python developer (with React experience),TechMagic,,111,25
Senior/Strong Middle Back End Developer,VMK GROUP,"Node.js, Python, REST API",166,45
Middle Python Developer,Dataforest,"Python scripting, Python, web scraping, Flask, MySQL/PostgreSQL/MongoDB",742,84
Senior Python Backend Engineer,ZERO,,574,157
Senior Python Developer / Team Lead,GT-Protocol,,161,48
Middle Python Engineer with AWS Stack,Upstaff,"Python, AWS, S3, Kinesis, SQS, SNS, CloudSearch",88,13
Senior Software Engineer,Skydio,"Streaming, IoT, Android, Robotics, UAS, Drones",320,13
Junior Python Developer,Nova Digital,"Python, Pandas, Pandas/NumPy/SciPy/Matplotlib, Machine Learning",993,222
Senior Python Developer,Todor3D,,320,108
Python Developer (Django),Sibliss,,118,21
Senior Python Developer,Devico,"SQL and NoSQL, PostgreSQL, MongoDB, Identity Server for user authentication., Azure Cloud services, including Azure Key Vault.",114,37
Python Developer + Java,Scalors,,47,17
Software Engineer,SPS Commerce,,68,10
Python Developer,NikCode,"Python, Python3, Basic Python knowledge, Data Science in Python",360,126
Odoo Developer (Middle/Senior),Evo Mall,Odoo,152,18
Senior Python Developer,Numerical Technologies,,200,53
Senior Full-stack Python + Vue,DDI Development,"Python, Vue.js, Vue",30,6
Data engineer (Airflow),Nova Digital,"Apache Airflow, Airflow, Data Science in Python, Python, ETL, Bash, Docker",226,16
Python (Django) Developer,PLANEKS,"Django, PostgreSQL, MongoDB, Celery, Redis, Django ORM, Django Rest Framework",416,86
"Fullstack Developer (Python and Angular), Poland",QAtronic,"Python, Angular, AWS, AWS services",25,8
Looking for a Django/React Developer,New Wave Devs,"Three.js, Django, React",171,40
Python Developer,:DTeam,,217,53
Team Lead Python/Django,Dataforest,"Python, Django, NoSQL, REST API, GCP/AWS, ElasticSearch, DRF",68,4
Python/RPA Engineer,IT-Rex - Staffing Services,,40,6
Senior Python Engineer,HebronSoft,,154,12
Python Developer (Middle+),Vimmi Communications,"Python, Django, Flask",196,52
Python Developer (Scraping),Dataforest,"Python, web scraping, Data Scraping & Processing, Selenium, Beautifulsoup",269,39
Python + Vue.js engineer,Itr-soft,"DRF, Django Rest Framework, Django, Vue.js",137,17
Python Developer,Infingame,"Python, Fastapi, Sqlalchemy, Postgresql, Docker, AWS, Asyncio",150,39
Senior Python Developer,Odore,"Python, Python3",61,25
Senior Python Developer,Devico,"Python, OOP, SQL/NoSQL, Git, Azure Cloud, AWS",53,13
Python Back-end Engineer,,,108,27
Senior Python Developer,Unikoom,"Python, Django, FastAPI, Streamlit, AWS, Docker",245,69
Python Developer,Jellyfish,"Django, Python, Flask, GIT, ETL, FastAPI",258,73
Junior+ Python Developer,WeSoftYou,Python / Django,462,173
Python developer (6+ years),Luxoft,"Python, AWS, Unix, Docker, Flask",77,11
Senior Python developer,Luxoft,,32,7
Senior Python Developer,Corva.AI,Python,52,13
Python Backend Developer,Canyon Development,,237,84
Characterization Engineer,UnameIT,"Python, Embedded, C/C++",406,55
Python (Django) Developer,PLANEKS,"Django, Python / Django, PostgreSQL, MongoDB, Celery, Redis, Django ORM",134,29
Math + Python Developer,Numerical Technologies,"Python, math",1028,150
Senior Python Developer,Scalors,,121,44
Senior Backend Engineer (Only Armenia),YozmaTech,"Node.js / Express.js / Nest.js, Node.js, Python, MySQL/PostgreSQL/MongoDB, SQL / SQLite / MySQL / PostgreSQL/ SQLAlchemy, AWS",127,42
Junior Python Developer,PTCWizard,,803,175
Computer Vision Python Engineer,Квіточка R&D,"Open CV, Numpy, Gstreamer, Image processing, Object tracking, Video processing, Video streaming",362,48
Experience Python Developer,Spreenauten GmbH,,197,58
Fullstack Developer (Python + Vue),Fulcrum,,193,30
Senior Software Engineer with Conversation AI background (ML Team),JustAnswer,"Python, C#/.NET, C#, AI, NLP, SQL",39,10
Senior Software Engineer (Python),Jooble,,247,79
Python Developer,Software Development Hub,Python,237,99
Python Developer,Dataforest,"python, scraping, SQL/NoSQL, BeautifulSoup",476,63
Python Developer,Silicon Valley Commerce LLC,"Angular, Python/Django/Django-rest-framework, AWS, Amazon AWS, Team coordination, eCommerce, Project Managment",911,197
Lead Software Engineer (Python),Tailbox,"AWS, GCP/AWS, AWS EKS, AWS SQS, PostgreSQL, Elasticsearch, Algorithms and Data Structures",207,68
Full Stack Python Developer,MaybeWorks🇺🇦,,1684,301
Strong Middle Python Engineer (Django),PLANEKS,,87,15
CTO,TheWhyKingz,"Python, AWS",107,6
Middle Phyton Developer,Softengi,"REST API, Git, Phyton, Advanced English",46,15
Web Developer,Ampelfy,"Python, React.js, Next.js, PHP, Wordpress",537,105
Backend-developer,Zviger Auto,"Backend, SQL, NoSQL, Python3, JavaScript, RabbitMQ, Selenium",149,35
Python Developer Middle-Senior,ALP.COM,,118,39
"Web Developer (React, Python, php)",Project Simple AI,"Next.js, PHP, WordPress, Python, React/Redux/Next.js",242,51
Junior Python Developer in Test (Apps),Ajax Systems,"Python, pytest, Selenium",1489,107
Junior / Middle Python Developer,Smart Rockstars,"Python, SQL, MariaDB, Oracle",747,228
Middle+ Python Developer,ElephantsLab,,239,72
Senior Python Developer,Uvik Software,"Python, Django, FastAPI, MongoDB, SQL, AWS S3, OOP",114,25
Senior Software Engineer,SPS Commerce,,253,17
Senior Backend Engineer,Logz.io,"asyncio, gRPC, WebRTC, Python, Golang",191,19
Senior Python Developer,Luxoft,,32,2
Junior Django Developer,ClinicWay,Python / Django,436,157
Middle Python (Django) Engineer,PLANEKS,"Python, Django",303,60
Python Developer,Luxoft,"Bachelor's degree in Computer Science, Engineering, AWS Lambda, API Gateway, DynamoDB, S3, and CloudFormation",28,2
Python Developer (Scraping),Dataforest,,317,42
